Gender,Age Group_Teenager,Age Group_Young Adult,Race_Other,Race_White,Reactions,Applicant ID,Training,Signals,Yield,Speed Control,Night Drive,Road Signs,Steer Control,Mirror Usage,Confidence,Parking,Theory Test,Qualified
0.0,1.0,0.0,0.0,0.0,2.0,AID0084,Basic,34.57,41.63,7.63,29.69,40.85,46.52,32.7,48.91,45.14,40.53,0
1.0,1.0,0.0,1.0,0.0,0.0,AID0085,Basic,27.95,39.82,37.49,48.59,40.34,34.7,22.15,27.55,51.79,40.1,0
0.0,0.0,0.0,0.0,1.0,0.0,AID0396,,44.77,48.45,18.09,36.98,56.57,34.48,46.02,46.07,30.86,59.63,0
1.0,0.0,1.0,1.0,0.0,2.0,AID0153,Basic,58.48,56.42,46.58,38.1,72.47,55.07,57.32,50.58,45.43,88.82,1
1.0,0.0,1.0,1.0,0.0,0.0,AID0009,,35.59,41.8,45.71,32.72,10.09,34.31,27.35,36.64,31.94,64.57,0
0.0,0.0,1.0,1.0,0.0,2.0,AID0425,Basic,48.3,28.63,50.9,33.04,58.13,32.98,38.34,33.08,53.83,86.28,1
0.0,1.0,0.0,0.0,1.0,2.0,AID0361,Basic,46.29,44.14,33.09,29.18,29.66,37.06,21.85,24.34,53.97,41.97,0
0.0,0.0,1.0,1.0,0.0,1.0,AID0231,,57.04,12.06,24.0,16.69,42.62,22.97,49.74,16.4,27.18,95.45,0
0.0,0.0,0.0,1.0,0.0,2.0,AID0412,,34.61,50.85,55.8,25.91,46.89,19.94,16.81,44.78,47.9,64.43,0
0.0,0.0,1.0,0.0,0.0,1.0,AID0500,Basic,47.38,67.98,44.9,47.17,44.44,52.28,55.87,54.5,53.95,77.07,0
1.0,0.0,0.0,1.0,0.0,2.0,AID0022,Basic,66.78,63.5,78.15,39.35,49.95,58.76,46.6,46.42,61.99,68.36,1
0.0,0.0,0.0,0.0,1.0,0.0,AID0283,Basic,55.35,56.29,45.61,58.28,50.38,46.45,60.55,63.63,57.54,82.41,0
0.0,0.0,1.0,1.0,0.0,2.0,AID0329,Basic,68.13,45.58,50.34,51.72,53.43,55.54,59.24,53.07,54.92,45.2,0
1.0,0.0,1.0,0.0,1.0,0.0,AID0346,Advanced,40.96,46.86,60.6,57.11,54.3,43.66,56.65,63.86,78.65,59.7,1
1.0,0.0,0.0,0.0,0.0,1.0,AID0426,Basic,59.81,34.72,52.18,54.34,48.23,47.03,64.78,65.04,65.29,64.69,1
0.0,0.0,0.0,0.0,0.0,1.0,AID0024,Basic,45.04,63.98,63.96,58.26,60.34,67.29,61.23,66.53,58.08,92.22,1
1.0,0.0,1.0,0.0,1.0,2.0,AID0230,Advanced,54.07,44.66,76.85,51.8,66.17,49.78,90.77,65.43,48.0,71.39,1
1.0,0.0,1.0,0.0,1.0,1.0,AID0460,Basic,40.95,49.48,55.86,36.55,68.07,45.48,47.11,33.68,44.6,56.3,0
0.0,0.0,1.0,0.0,1.0,0.0,AID0484,Advanced,57.81,57.13,53.28,65.02,67.5,45.98,60.22,53.56,65.32,56.6,0
1.0,0.0,1.0,1.0,0.0,1.0,AID0464,,27.98,25.67,44.37,50.72,55.13,55.34,41.63,37.93,41.09,77.86,0
1.0,0.0,0.0,0.0,0.0,1.0,AID0139,,47.15,22.97,28.63,41.64,41.08,43.97,27.09,38.61,40.07,81.36,0
0.0,0.0,0.0,1.0,0.0,2.0,AID0274,Advanced,71.26,62.29,61.81,66.15,58.19,55.38,66.09,70.16,53.87,77.25,1
0.0,0.0,1.0,1.0,0.0,2.0,AID0450,Advanced,56.52,62.92,50.42,57.19,75.88,68.13,59.25,80.76,76.61,73.34,1
0.0,0.0,1.0,1.0,0.0,1.0,AID0336,Basic,58.92,65.96,50.08,53.56,55.9,63.57,45.67,31.58,64.53,52.77,1
1.0,0.0,1.0,0.0,1.0,1.0,AID0363,Basic,49.66,65.42,44.7,63.64,65.95,64.49,50.52,55.53,52.86,93.12,1
0.0,1.0,0.0,0.0,0.0,1.0,AID0340,Advanced,41.38,65.2,44.52,54.96,47.03,52.42,60.09,44.44,41.85,64.71,1
0.0,0.0,1.0,0.0,0.0,1.0,AID0174,Advanced,45.9,60.54,55.58,56.73,68.85,67.63,68.26,50.32,68.8,42.93,1
0.0,0.0,1.0,0.0,1.0,1.0,AID0453,Basic,63.23,60.18,31.67,38.36,51.69,55.9,47.3,40.82,54.57,96.16,0
1.0,0.0,1.0,0.0,1.0,0.0,AID0292,,38.34,34.07,27.24,54.66,14.15,31.95,47.57,46.05,45.28,61.21,0
1.0,0.0,0.0,0.0,1.0,1.0,AID0134,Basic,48.76,53.7,62.46,66.09,67.37,54.31,52.56,49.86,68.66,69.34,1
0.0,0.0,1.0,0.0,1.0,1.0,AID0241,,9.62,21.47,51.26,22.31,36.44,8.67,4.46,49.96,52.3,89.77,0
0.0,0.0,0.0,0.0,1.0,0.0,AID0282,Basic,44.78,57.68,51.09,52.19,52.61,76.04,64.13,42.44,62.82,86.16,0
1.0,1.0,0.0,1.0,0.0,2.0,AID0248,Advanced,38.03,61.23,48.85,59.51,64.03,25.52,41.01,48.87,58.31,90.02,0
